Evan Mobley - 2022 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
Total,26,26,32:16:00,12.9,8.1,2.4,14,1.7,6.4,0.9,1.7,1.6,0,2.2,4.5-9.3,0.485,.6-1.8,0.326,2.2-2.8,0.767,0.525,16,10,3,22,2,1.1,2.1,3.5
Home,11,11,33:10:00,13.1,8.5,2,14,1.7,6.8,1,2.3,1.8,0,2,4.5-9.6,0.472,.7-1.7,0.421,1.8-2.5,0.714,0.524,15.8,10.3,2.4,22,2.2,1.2,2.7,3.1
Road,15,15,31:35:00,12.7,7.7,2.7,14.1,1.7,6.1,0.8,1.3,1.5,0,2.4,4.5-9.0,0.496,.5-1.8,0.259,2.4-3.0,0.8,0.525,16.1,9.8,3.5,22,1.9,1,1.7,3.8
Last 5,5,5,34:23:00,12.2,8.6,3,12.5,2,6.6,0.8,2,1.6,0,2.6,3.6-9.2,0.391,.8-2.4,0.333,2.6-3.0,0.867,0.472,14.2,10,3.5,20.2,1.9,0.9,2.3,3.5
Last 10,10,10,33:24:00,12.9,8.4,2.7,13.4,1.7,6.7,0.8,2.3,1.7,0,2,3.8-9.4,0.404,1.0-2.5,0.4,2.3-3.0,0.767,0.488,15.5,10.1,3.2,21.1,2,1,2.8,3.6
Starter,26,26,32:16:00,12.9,8.1,2.4,14,1.7,6.4,0.9,1.7,1.6,0,2.2,4.5-9.3,0.485,.6-1.8,0.326,2.2-2.8,0.767,0.525,16,10,3,22,2,1.1,2.1,3.5
Team Wins,15,15,33:49:00,13.5,8.7,2.1,13.9,1.8,6.9,0.8,2.1,2,0,2.4,4.8-9.3,0.518,.6-1.9,0.31,2.1-2.7,0.8,0.547,16,10.3,2.5,22.4,2.4,0.9,2.5,3.2
Team Loses,11,11,30:08:00,12,7.3,2.8,14.2,1.5,5.7,1,1.2,1.1,0,2,4.1-9.3,0.441,.5-1.5,0.353,2.2-3.0,0.727,0.494,15.9,9.7,3.7,21.5,1.4,1.3,1.6,4
Win by 13+,8,8,31:50:00,13.1,8,2.6,15.5,1.5,6.5,0.9,2.4,1.6,0,2.1,3.9-8.5,0.456,1.0-2.0,0.5,2.4-3.1,0.76,0.553,16.5,10.1,3.3,23.9,2,1.1,3,3.9
Win by 6-12,2,2,30:41:00,13.5,9.5,1.5,16.5,2.5,7,0.5,2.5,2,0,3,5.5-9.0,0.611,.0-1.0,0,2.5-2.5,1,0.608,17.6,12.4,2,27.4,2.6,0.7,3.3,3.3
Win by 1-5,5,5,38:15:00,14.2,9.4,1.6,11.1,2,7.4,0.8,1.6,2.6,0,2.6,6.0-10.6,0.566,.2-2.2,0.091,1.6-2.0,0.8,0.519,14.9,9.8,1.7,18.8,2.7,0.8,1.7,2.1
Lose by 1-5,3,3,31:47:00,16,9.7,3,17.8,2.3,7.3,1,1.7,1,0,2.7,5.7-12.7,0.447,1.0-2.0,0.5,1.7-2.3,0.714,0.51,20.1,12.2,3.8,27.3,1.3,1.3,2.1,2.9
Lose by 6-12,7,7,30:37:00,10.6,6.1,3.1,12.2,1.3,4.9,1,0.9,1.1,0,1.7,3.6-8.1,0.439,.4-1.6,0.273,2.1-3.1,0.682,0.476,13.8,8,4.1,18.1,1.5,1.3,1.1,4.1
Lose by 13+,1,1,21:53,10,8,0,17.7,1,7,1,2,1,0,2,3.0-7.0,0.429,.0-.0,0,4.0-4.0,1,0.571,18.3,14.6,0,29.3,1.8,1.8,3.7,7.3
FGA 0-5,2,2,19:46,4.5,4,1,6.8,0,4,1,0.5,0.5,0,2,2.0-5.0,0.4,.0-.0,0,.5-1.5,0.333,0.398,9.1,8.1,2,13.2,1,2,1,3
FGA 6-10,9,9,29:56:00,11.6,7.3,1.9,13.5,1.3,6,1,1.8,2,0,2.4,3.2-7.3,0.439,.6-1.3,0.417,3.4-4.0,0.861,0.554,15.4,9.8,2.5,21.5,2.7,1.3,2.4,5.3
FGA 11-15,13,13,35:05:00,14.2,9.1,2.9,14.1,1.9,7.2,0.7,2.1,1.8,0,2.4,5.4-10.5,0.511,.6-2.3,0.267,1.6-2.2,0.75,0.516,16.2,10.3,3.3,22.6,2,0.8,2.4,2.5
FGA 16-20,2,2,36:51:00,18.5,9,3,19.3,3.5,5.5,1.5,0.5,0,0,0.5,7.0-14.0,0.5,1.0-2.0,0.5,1.5-3.0,0.5,0.534,20.1,9.8,3.3,25,0,1.6,0.5,3.3
Opp wl% >=500,20,20,31:33:00,12.8,8.2,2.7,15,1.8,6.4,1,1.7,1.2,0,2.3,4.5-9.4,0.473,.6-1.7,0.324,2.2-2.8,0.786,0.517,16.2,10.3,3.4,23.2,1.5,1.3,2.1,3.6
Opp wl% < 500,6,6,34:38:00,13.3,7.8,1.7,11.2,1.3,6.5,0.5,2,3,0,2,4.7-8.8,0.528,.7-2.0,0.333,2.0-2.8,0.706,0.552,15.4,9,1.9,18.5,3.5,0.6,2.3,3.3
Reg Season,26,26,32:16:00,12.9,8.1,2.4,14,1.7,6.4,0.9,1.7,1.6,0,2.2,4.5-9.3,0.485,.6-1.8,0.326,2.2-2.8,0.767,0.525,16,10,3,22,2,1.1,2.1,3.5
Min 10-20,1,1,13:49,3,4,2,6.7,0,4,1,0,0,0,1,1.0-5.0,0.2,.0-.0,0,1.0-3.0,0.333,0.237,8.7,11.6,5.8,11.6,0,2.9,0,8.7
Min 20-30,6,6,24:53:00,8,6.7,2.2,9.1,1.3,5.3,0.3,1.2,1.7,0,2.2,2.8-7.7,0.37,.2-1.0,0.167,1.8-2.2,0.846,0.416,12.9,10.7,3.5,17.1,2.7,0.5,1.9,3.5
Min > 30,19,19,35:33:00,14.9,8.7,2.5,15.3,1.9,6.8,1.1,2,1.7,0,2.3,5.2-10.0,0.521,.7-2.1,0.35,2.3-3.0,0.772,0.557,16.8,9.8,2.8,23.3,1.9,1.2,2.2,3.4
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
October,12,12,29:16:00,11.3,7.6,2.2,14.5,1.5,6.1,1,1.5,1.2,0,2.4,4.3-8.5,0.5,.3-.9,0.273,2.1-2.8,0.758,0.533,15.5,10.4,3,23,1.6,1.4,2.1,3.8
November,10,10,35:07:00,15,8.3,2.4,13.6,1.6,6.7,0.8,1.9,2.5,0,1.9,5.3-10.1,0.525,.8-2.5,0.32,2.0-2.8,0.714,0.542,17.1,9.5,2.7,21.2,2.8,0.9,2.2,3.2
December,4,4,34:08:00,12.3,9,3.3,13.9,2.5,6.5,0.8,2,0.8,0,2.5,3.3-9.5,0.342,1.0-2.5,0.4,2.8-3.0,0.917,0.46,14.4,10.5,3.8,21.7,0.9,0.9,2.3,3.5
Monday,5,5,32:22:00,10,8,2.8,8,2.4,5.6,0.8,1.2,3,0,2.8,3.6-8.8,0.409,.2-2.0,0.1,2.2-3.0,0.733,0.413,12.4,9.9,3.5,14.8,3.7,1,1.5,3.7
Tuesday,1,1,21:53,10,8,0,17.7,1,7,1,2,1,0,2,3.0-7.0,0.429,.0-.0,0,4.0-4.0,1,0.571,18.3,14.6,0,29.3,1.8,1.8,3.7,7.3
Wednesday,6,6,33:46:00,14,10,2.3,13.8,1.3,8.7,0.5,1.8,1.8,0,3,4.5-9.7,0.466,.7-2.0,0.333,3.0-3.5,0.857,0.53,16.6,11.8,2.8,23.5,2.2,0.6,2.2,4.1
Friday,7,7,31:04:00,12.1,5.4,2,12.9,1,4.4,1.1,1.4,1.6,0,1.7,4.4-8.7,0.508,.4-1.1,0.375,2.0-3.1,0.636,0.54,15.6,7,2.6,18.6,2,1.5,1.8,4
Saturday,4,4,32:22:00,12.8,8.3,2.3,16.6,1.5,6.8,0.8,2.8,0.5,0,1.5,4.5-8.5,0.529,.8-2.3,0.333,1.5-1.8,0.857,0.553,15.8,10.2,2.8,25.3,0.6,0.9,3.4,2.2
Sunday,3,3,35:09:00,18.3,10.3,4,22.1,3.3,7,1.3,1.7,0.7,0,2,6.7-12.3,0.541,1.3-2.3,0.571,1.0-1.3,0.75,0.601,20.9,11.8,4.6,31.9,0.8,1.5,1.9,1.5
vs Eastern,18,18,31:40:00,13,7.9,2.4,14.6,1.6,6.4,0.9,2.1,1.7,0,2.3,4.4-8.9,0.491,.7-2.0,0.333,2.2-2.8,0.784,0.533,16.4,10,3,22.9,2.1,1.2,2.6,3.6
vs Western,8,8,33:35:00,12.6,8.4,2.5,12.8,2,6.4,0.8,1,1.5,0,2,4.8-10.0,0.475,.4-1.3,0.3,2.0-2.8,0.727,0.507,15,10,3,20.1,1.8,0.9,1.2,3.3
vs Eastern Atlantic,4,4,35:35:00,16,8,3.3,16.4,1.8,6.3,0.8,1.8,1.5,0,1.3,5.8-10.5,0.548,.8-2.8,0.273,2.3-2.5,0.9,0.557,18,9,3.7,23.9,1.7,0.8,2,2.8
vs Eastern Central,6,6,26:42:00,10.3,6.5,1.5,14.2,1,5.5,1.3,1.5,1,0,2.3,3.2-7.2,0.442,.7-1.2,0.571,2.0-3.0,0.667,0.535,15.5,9.7,2.2,22,1.5,2,2.2,4.5
vs Eastern Southeast,8,8,33:26:00,13.5,9,2.6,13.9,1.9,7.1,0.8,2.6,2.3,0,2.9,4.6-9.5,0.487,.6-2.3,0.278,2.4-2.9,0.826,0.519,16.2,10.8,3.1,23,2.7,0.9,3.1,3.4
vs Western Northwest,3,3,34:26:00,11.7,10.3,1.7,10.3,3.3,7,0.3,1,2.3,0,2,4.7-10.7,0.438,.3-1.0,0.333,1.3-1.7,0.8,0.47,13.6,12,1.9,18.2,2.7,0.4,1.2,1.9
vs Western Pacific,3,3,30:34:00,12.3,6.7,2.3,15.1,2,4.7,1,0.7,0,0,1.7,4.3-9.7,0.448,.3-1.0,0.333,2.7-3.7,0.727,0.502,16.1,8.7,3.1,20.9,0,1.3,0.9,4.8
vs Western Southwest,2,2,36:51:00,14.5,8,4,13.2,0,8,1,1.5,2.5,0,2.5,5.5-9.5,0.579,.5-2.0,0.25,2.0-3.0,0.667,0.566,15.7,8.7,4.3,21.7,2.7,1.1,1.6,3.3
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
vs Bucks,1,1,31:31:00,12,6,2,12.2,2,4,1,0,0,0,3,2.0-6.0,0.333,1.0-4.0,0.25,5.0-6.0,0.833,0.475,15.2,7.6,2.5,16.5,0,1.3,0,7.6
vs Bulls,2,2,27:09:00,12.5,9,2,19.2,1.5,7.5,1.5,2.5,1,0,3,4.5-9.5,0.474,.5-.5,1,2.0-2.5,0.8,0.563,18.4,13.3,2.9,30.9,1.5,2.2,3.7,3.7
vs Celtics,2,2,34:11:00,10,9,3,11.1,2,7,1,2.5,1.5,0,1,3.5-10.0,0.35,.5-2.0,0.25,1.5-2.0,0.75,0.388,11.7,10.5,3.5,18.1,1.8,1.2,2.9,2.3
vs Clippers,1,1,34:07:00,12,10,0,13.1,3,7,1,2,0,0,4,3.0-10.0,0.3,.0-.0,0,6.0-6.0,1,0.475,14.1,11.7,0,21.1,0,1.2,2.3,7
vs Grizzlies,1,1,38:18:00,17,9,6,18.9,0,9,1,1,0,0,2,6.0-11.0,0.545,1.0-2.0,0.5,2.0-3.0,0.667,0.594,17.8,9.4,6.3,28.2,0,1,1,3.1
vs Hawks,2,2,34:17:00,12.5,11.5,1.5,13.2,2.5,9,0.5,3,2,0,3.5,5.5-9.0,0.611,.0-2.5,0,1.5-1.5,1,0.514,14.6,13.4,1.7,24.5,2.3,0.6,3.5,1.7
vs Heat,1,1,31:35:00,17,11,4,23.7,0,11,1,4,2,0,3,3.0-7.0,0.429,2.0-3.0,0.667,5.0-5.0,1,0.697,21.5,13.9,5.1,38,2.5,1.3,5.1,6.3
vs Hornets,2,2,36:16:00,14,7.5,2.5,12.1,2.5,5,2,1.5,4,0,3,5.5-10.0,0.55,.0-1.0,0,3.0-4.0,0.75,0.549,15.4,8.3,2.8,18.8,4.4,2.2,1.7,4.4
vs Jazz,1,1,37:25:00,14,12,3,15.2,5,7,1,1,0,0,1,5.0-14.0,0.357,1.0-2.0,0.5,1.0-1.0,1,0.426,15,12.8,3.2,22.4,0,1.1,1.1,1.1
vs Knicks,1,1,35:36:00,26,9,5,31,3,6,1,1,1,0,1,9.0-11.0,0.818,2.0-4.0,0.5,2.0-2.0,1,0.819,29.2,10.1,5.6,41.6,1.1,1.1,1.1,2.2
vs Lakers,1,1,36:16:00,23,6,3,23.5,2,4,2,0,0,0,0,9.0-14.0,0.643,1.0-2.0,0.5,2.0-5.0,0.4,0.632,25.4,6.6,3.3,27.6,0,2.2,0,5.5
vs Magic,1,1,33:18:00,13,9,3,15.9,2,7,0,4,1,0,1,3.0-8.0,0.375,2.0-4.0,0.5,1.0-2.0,0.5,0.505,15.6,10.8,3.6,24,1.2,0,4.8,2.4
vs Mavericks,1,1,35:24:00,12,7,2,7.1,0,7,1,2,5,0,3,5.0-8.0,0.625,.0-2.0,0,2.0-3.0,0.667,0.53,13.6,7.9,2.3,14.7,5.6,1.1,2.3,3.4
vs Nuggets,1,1,26:13:00,10,8,2,11.4,3,5,0,1,3,0,3,4.0-8.0,0.5,.0-.0,0,2.0-2.0,1,0.563,15.3,12.2,3.1,21.4,4.6,0,1.5,3.1
vs Pacers,2,2,19:46,4.5,4,1,6.8,0,4,1,0.5,0.5,0,2,2.0-5.0,0.4,.0-.0,0,.5-1.5,0.333,0.398,9.1,8.1,2,13.2,1,2,1,3
vs Pistons,1,1,34:51:00,16,7,1,16.6,1,6,2,3,3,0,1,4.0-8.0,0.5,2.0-2.0,1,2.0-4.0,0.5,0.68,18.4,8,1.1,23,3.4,2.3,3.4,4.6
vs Raptors,1,1,38:22:00,18,5,2,12.3,0,5,0,1,2,0,2,7.0-11.0,0.636,.0-3.0,0,4.0-4.0,1,0.571,18.8,5.2,2.1,17.7,2.1,0,1,4.2
vs Suns,1,1,21:20,2,4,4,4.1,1,3,0,0,0,0,1,1.0-5.0,0.2,.0-1.0,0,.0-.0,0,0.167,3.8,7.5,7.5,9.4,0,0,0,0
vs Trailblazers,1,1,39:40:00,11,11,0,4.9,2,9,0,1,4,0,2,5.0-10.0,0.5,.0-1.0,0,1.0-2.0,0.5,0.463,11.1,11.1,0,12.1,4,0,1,2
vs Wizards,2,2,30:44:00,12.5,7,3,10.9,1.5,5.5,0,2,1.5,0,3,4.5-11.5,0.391,.5-2.0,0.25,2.0-2.5,0.8,0.428,16.3,9.1,3.9,18.2,2,0,2.6,3.3
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
at American Airlines Arena,1,1,35:24:00,12,7,2,7.1,0,7,1,2,5,0,3,5.0-8.0,0.625,.0-2.0,0,2.0-3.0,0.667,0.53,13.6,7.9,2.3,14.7,5.6,1.1,2.3,3.4
at Ball Arena,1,1,26:13:00,10,8,2,11.4,3,5,0,1,3,0,3,4.0-8.0,0.5,.0-.0,0,2.0-2.0,1,0.563,15.3,12.2,3.1,21.4,4.6,0,1.5,3.1
at Bankers Life Fieldhouse,1,1,13:49,3,4,2,6.7,0,4,1,0,0,0,1,1.0-5.0,0.2,.0-.0,0,1.0-3.0,0.333,0.237,8.7,11.6,5.8,11.6,0,2.9,0,8.7
at Bradley Center,1,1,31:31:00,12,6,2,12.2,2,4,1,0,0,0,3,2.0-6.0,0.333,1.0-4.0,0.25,5.0-6.0,0.833,0.475,15.2,7.6,2.5,16.5,0,1.3,0,7.6
at Capital One Arena,1,1,35:59:00,6,7,4,5.3,3,4,0,3,1,0,3,3.0-11.0,0.273,.0-1.0,0,.0-.0,0,0.25,6.7,7.8,4.4,11.1,1.1,0,3.3,0
at FedEx Forum,1,1,38:18:00,17,9,6,18.9,0,9,1,1,0,0,2,6.0-11.0,0.545,1.0-2.0,0.5,2.0-3.0,0.667,0.594,17.8,9.4,6.3,28.2,0,1,1,3.1
at Footprint Center,1,1,21:20,2,4,4,4.1,1,3,0,0,0,0,1,1.0-5.0,0.2,.0-1.0,0,.0-.0,0,0.167,3.8,7.5,7.5,9.4,0,0,0,0
at FTX Arena,1,1,31:35:00,17,11,4,23.7,0,11,1,4,2,0,3,3.0-7.0,0.429,2.0-3.0,0.667,5.0-5.0,1,0.697,21.5,13.9,5.1,38,2.5,1.3,5.1,6.3
at Madison Square Garden,1,1,35:36:00,26,9,5,31,3,6,1,1,1,0,1,9.0-11.0,0.818,2.0-4.0,0.5,2.0-2.0,1,0.819,29.2,10.1,5.6,41.6,1.1,1.1,1.1,2.2
at Rocket Mortgage FieldHouse,11,11,33:10:00,13.1,8.5,2,14,1.7,6.8,1,2.3,1.8,0,2,4.5-9.6,0.472,.7-1.7,0.421,1.8-2.5,0.714,0.524,15.8,10.3,2.4,22,2.2,1.2,2.7,3.1
at Scotiabank Arena,1,1,38:22:00,18,5,2,12.3,0,5,0,1,2,0,2,7.0-11.0,0.636,.0-3.0,0,4.0-4.0,1,0.571,18.8,5.2,2.1,17.7,2.1,0,1,4.2
at Spectrum Center,1,1,40:03:00,15,10,3,10.7,4,6,2,1,4,0,4,7.0-13.0,0.538,.0-2.0,0,1.0-2.0,0.5,0.472,15,10,3,18,4,2,1,2
at Staples Center,2,2,35:12:00,17.5,8,1.5,18.5,2.5,5.5,1.5,1,0,0,2,6.0-12.0,0.5,.5-1.0,0.5,4.0-5.5,0.727,0.567,19.9,9.1,1.7,24.4,0,1.7,1.1,6.3
at State Farm Arena,1,1,33:26:00,8,12,2,5.9,3,9,0,2,3,0,4,4.0-8.0,0.5,.0-3.0,0,.0-.0,0,0.364,9.6,14.4,2.4,16.8,3.6,0,2.4,0
at United Center,1,1,21:53,10,8,0,17.7,1,7,1,2,1,0,2,3.0-7.0,0.429,.0-.0,0,4.0-4.0,1,0.571,18.3,14.6,0,29.3,1.8,1.8,3.7,7.3
